Location ID,Location Name,Location Group,Location Type,Sensor ID,Place Open,Local Date/Time,UTC Date/Time,# of aggregated records,PM2.5 (��g/m�,PM2.5 (��g/m��) c,0.3��m particle c,CO2 (ppm) raw,CO2 (ppm) corrected,Temperature (��C),Temperature (��C) corre,Heat Index (��,Humidity (%) raw,Humidity (%) corrected,TVOC (ppb),TVOC index,NOX index,PM1 (��g/,PM10 (��g/,measure0,measure1,measure2,measure3,measure4,measure5,measure6,measure7,measure8,measure9,measure10,measure11,measure12,measure13,measure14,measure15,measure16,measure17,measure18,measure19,timestamp
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,True,1/21/2026 10:00,2026-01-21T02:00:00.000Z,41,18.5,11.4,831.0,424.0,424.0,28.5,28.5,32.4,48.0,67.0,92.0,98.0,1.0,10.5,21.9,,,,,,,,,,,,,,,,,,,,,2026-01-21 10:00:00+08:00
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,True,1/21/2026 11:00,2026-01-21T03:00:00.000Z,59,36.7,24.1,1651.0,416.0,416.0,29.4,29.6,34.2,50.0,71.0,87.0,91.0,1.0,25.3,44.4,,,,,,,,,,,,,,,,,,,,,2026-01-21 11:00:00+08:00
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,True,1/21/2026 12:00,2026-01-21T04:00:00.000Z,60,35.3,22.5,1544.0,405.0,405.0,29.0,29.2,33.1,49.0,70.0,80.0,83.0,1.0,24.5,41.7,,,,,,,,,,,,,,,,,,,,,2026-01-21 12:00:00+08:00
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,True,1/21/2026 13:00,2026-01-21T05:00:00.000Z,60,8.9,6.2,508.0,403.0,403.0,28.9,29.0,32.2,47.0,67.0,74.0,76.0,1.0,5.7,10.8,,,,,,,,,,,,,,,,,,,,,2026-01-21 13:00:00+08:00
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,True,1/21/2026 14:00,2026-01-21T06:00:00.000Z,60,0.7,0.9,194.0,396.0,396.0,29.1,29.2,32.2,46.0,65.0,35.0,33.0,1.0,0.2,1.0,,,,,,,,,,,,,,,,,,,,,2026-01-21 14:00:00+08:00
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,True,1/21/2026 15:00,2026-01-21T07:00:00.000Z,60,1.1,1.7,228.0,389.0,389.0,28.9,29.1,32.0,46.0,65.0,56.0,57.0,1.0,0.4,1.7,,,,,,,,,,,,,,,,,,,,,2026-01-21 15:00:00+08:00
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,True,1/21/2026 16:00,2026-01-21T08:00:00.000Z,14,5.2,4.2,374.0,396.0,396.0,28.7,28.8,31.5,46.0,65.0,40.0,39.0,1.0,2.8,6.4,,,,,,,,,,,,,,,,,,,,,2026-01-21 16:00:00+08:00
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,True,1/22/2026 10:00,2026-01-22T02:00:00.000Z,53,7.8,6.1,521.0,393.0,393.0,28.1,28.1,29.8,44.0,62.0,96.0,102.0,1.0,4.3,9.6,,,,,,,,,,,,,,,,,,,,,2026-01-22 10:00:00+08:00
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,True,1/22/2026 11:00,2026-01-22T03:00:00.000Z,58,24.8,15.6,1071.0,428.0,428.0,29.3,29.5,31.9,42.0,60.0,208.0,176.0,1.0,16.3,29.1,,,,,,,,,,,,,,,,,,,,,2026-01-22 11:00:00+08:00
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,True,1/22/2026 12:00,2026-01-22T04:00:00.000Z,60,31.0,19.1,1318.0,411.0,411.0,29.1,29.3,31.6,43.0,61.0,85.0,90.0,1.0,21.6,36.0,,,,,,,,,,,,,,,,,,,,,2026-01-22 12:00:00+08:00
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,True,1/22/2026 13:00,2026-01-22T05:00:00.000Z,60,17.6,11.7,827.0,409.0,409.0,28.9,29.0,31.1,42.0,61.0,109.0,113.0,1.0,11.8,20.4,,,,,,,,,,,,,,,,,,,,,2026-01-22 13:00:00+08:00
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,True,1/22/2026 14:00,2026-01-22T06:00:00.000Z,60,1.2,2.4,240.0,402.0,402.0,28.5,28.6,30.4,42.0,60.0,79.0,84.0,1.0,0.3,1.9,,,,,,,,,,,,,,,,,,,,,2026-01-22 14:00:00+08:00
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,True,1/22/2026 15:00,2026-01-22T07:00:00.000Z,60,2.1,3.0,271.0,402.0,402.0,28.0,28.0,29.6,43.0,62.0,76.0,79.0,1.0,0.4,3.0,,,,,,,,,,,,,,,,,,,,,2026-01-22 15:00:00+08:00
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,True,1/22/2026 16:00,2026-01-22T08:00:00.000Z,60,3.8,4.1,338.0,400.0,400.0,28.0,27.9,29.4,43.0,61.0,88.0,92.0,1.0,0.9,4.5,,,,,,,,,,,,,,,,,,,,,2026-01-22 16:00:00+08:00
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,True,1/22/2026 17:00,2026-01-22T09:00:00.000Z,56,8.0,6.2,530.0,405.0,405.0,27.3,27.2,28.6,44.0,63.0,170.0,166.0,2.0,4.1,9.4,,,,,,,,,,,,,,,,,,,,,2026-01-22 17:00:00+08:00
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,False,1/24/2026 5:00,2026-01-23T21:00:00.000Z,3,30.9,16.3,1218.0,453.0,453.0,20.1,18.6,18.6,70.0,96.0,36.0,34.0,1.0,21.3,37.8,,,,,,,,,,,,,,,,,,,,,2026-01-24 05:00:00+08:00
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,False,1/26/2026 5:00,2026-01-25T21:00:00.000Z,36,51.3,37.9,2641.0,452.0,452.0,23.7,22.8,23.0,63.0,86.0,93.0,98.0,1.0,35.5,62.9,,,,,,,,,,,,,,,,,,,,,2026-01-26 05:00:00+08:00
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,False,1/26/2026 6:00,2026-01-25T22:00:00.000Z,60,44.1,32.0,2199.0,456.0,456.0,25.2,24.7,25.3,57.0,79.0,111.0,113.0,2.0,29.8,56.1,,,,,,,,,,,,,,,,,,,,,2026-01-26 06:00:00+08:00
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,False,1/26/2026 7:00,2026-01-25T23:00:00.000Z,60,38.7,25.7,1741.0,435.0,435.0,25.4,24.9,25.5,56.0,78.0,197.0,153.0,1.0,26.1,48.5,,,,,,,,,,,,,,,,,,,,,2026-01-26 07:00:00+08:00
