timestamp,PM1 (��g/,PM2.5 (��g/m��) c,PM10 (��g/,Temperature (��C) corre,Humidity (%) corrected
2025-10-02 08:00:00+08:00,57.6,88.0,94.5,26.6,92
2025-10-02 09:00:00+08:00,16.4,26.8,28.7,31.0,76
2025-10-02 10:00:00+08:00,14.9,23.6,24.1,31.5,74
2025-10-03 09:00:00+08:00,11.0,16.9,18.2,26.2,94
2025-10-03 10:00:00+08:00,2.4,5.0,5.6,27.9,92
2025-10-03 12:00:00+08:00,8.9,15.6,16.7,27.6,88
2025-10-03 13:00:00+08:00,3.3,5.4,5.6,30.3,85
2025-10-03 17:00:00+08:00,26.7,37.6,43.3,23.3,100
2025-10-03 18:00:00+08:00,24.2,33.9,37.6,29.4,87
2025-10-03 19:00:00+08:00,32.2,45.5,52.0,30.5,82
2025-10-03 20:00:00+08:00,26.2,37.2,43.0,30.7,82
2025-10-06 09:00:00+08:00,40.8,58.2,62.9,32.3,76
2025-10-06 10:00:00+08:00,16.0,24.0,25.0,35.1,64
2025-10-06 13:00:00+08:00,26.3,39.1,44.5,33.0,74
2025-10-06 14:00:00+08:00,26.7,38.4,44.1,35.3,68
2025-10-06 18:00:00+08:00,30.1,43.2,49.6,31.1,79
2025-10-06 19:00:00+08:00,33.2,47.9,54.4,32.7,72
2025-10-06 20:00:00+08:00,30.5,43.0,49.2,32.8,64
2025-10-07 08:00:00+08:00,10.2,14.3,14.8,25.6,63
2025-10-07 09:00:00+08:00,7.8,12.4,13.2,27.5,57
2025-10-07 10:00:00+08:00,34.0,47.9,53.9,32.9,70
2025-10-07 12:00:00+08:00,39.6,66.8,74.7,21.6,100
2025-10-07 13:00:00+08:00,30.0,45.9,53.1,30.7,75
2025-10-07 18:00:00+08:00,30.9,46.3,53.7,31.8,72
2025-10-07 19:00:00+08:00,38.6,55.1,62.5,32.1,70
2025-10-07 20:00:00+08:00,26.7,39.3,46.2,31.9,71
2025-10-08 09:00:00+08:00,26.8,38.4,44.2,28.1,88
2025-10-08 10:00:00+08:00,34.6,48.6,55.1,29.4,87
2025-10-08 12:00:00+08:00,29.5,44.4,51.8,28.0,90
2025-10-08 13:00:00+08:00,28.9,44.0,50.8,30.8,76
2025-10-08 14:00:00+08:00,34.4,55.3,63.8,33.4,75
2025-10-08 18:00:00+08:00,36.3,53.2,59.9,31.4,75
2025-10-08 19:00:00+08:00,37.5,55.3,63.3,32.8,70
2025-10-08 20:00:00+08:00,43.1,62.7,69.6,33.0,73
2025-10-09 09:00:00+08:00,21.2,31.0,34.0,27.6,82
2025-10-09 10:00:00+08:00,11.6,17.1,18.3,31.3,74
2025-10-09 12:00:00+08:00,25.8,37.5,41.7,30.7,82
2025-10-09 13:00:00+08:00,34.0,52.5,58.1,33.0,71
2025-10-09 17:00:00+08:00,28.5,40.6,45.6,25.0,96
2025-10-09 18:00:00+08:00,30.2,43.9,49.6,30.6,76
2025-10-09 19:00:00+08:00,34.4,49.7,57.0,31.6,75
2025-10-09 20:00:00+08:00,30.2,44.2,52.4,31.6,78
2025-10-11 08:00:00+08:00,21.2,34.0,37.2,25.4,74
2025-10-11 09:00:00+08:00,19.8,30.4,32.5,28.3,63
2025-10-11 10:00:00+08:00,18.5,28.1,28.9,28.9,60
2025-10-11 12:00:00+08:00,30.5,48.2,59.5,23.9,100
2025-10-11 13:00:00+08:00,25.6,38.7,45.5,29.8,81
2025-10-11 14:00:00+08:00,55.8,91.6,97.3,32.0,73
2025-10-11 17:00:00+08:00,0.2,0.7,0.7,27.1,79
2025-10-11 18:00:00+08:00,43.3,65.0,72.9,31.9,73
2025-10-11 19:00:00+08:00,30.1,44.4,52.6,31.8,66
2025-10-11 20:00:00+08:00,64.0,95.5,98.4,30.5,78
2025-10-12 08:00:00+08:00,14.6,24.7,25.5,28.4,87
2025-10-12 09:00:00+08:00,7.5,16.0,16.7,32.4,74
2025-10-12 12:00:00+08:00,2.4,5.4,5.6,27.6,89
2025-10-12 13:00:00+08:00,5.4,11.1,12.5,31.6,74
2025-10-12 17:00:00+08:00,17.8,26.1,27.3,25.7,100
2025-10-12 18:00:00+08:00,13.5,23.2,23.6,31.0,84
2025-10-12 19:00:00+08:00,15.2,24.3,24.8,32.3,79
