timestamp,PM1 (��g/,PM2.5 (��g/m��) c,PM10 (��g/,Temperature (��C) corre,Humidity (%) corrected
2025-10-01 15:00:00+08:00,1.7,2.5,2.5,26.8,60.0
2025-10-01 16:00:00+08:00,7.4,11.5,11.8,27.6,74.0
2025-10-01 17:00:00+08:00,28.0,38.6,44.7,32.2,80.0
2025-10-01 18:00:00+08:00,21.8,30.0,33.1,32.3,72.0
2025-10-01 21:00:00+08:00,,,,,
2025-10-01 22:00:00+08:00,11.2,20.3,20.8,28.0,96.0
2025-10-02 10:00:00+08:00,8.8,17.8,18.3,28.3,96.0
2025-10-02 11:00:00+08:00,6.5,12.3,13.0,31.3,86.0
2025-10-03 07:00:00+08:00,0.0,0.2,0.2,27.6,94.0
2025-10-03 08:00:00+08:00,2.5,3.7,4.2,29.7,85.0
2025-10-03 09:00:00+08:00,1.8,2.7,3.0,29.3,90.0
2025-10-03 10:00:00+08:00,1.8,4.1,4.4,28.9,89.0
2025-10-03 11:00:00+08:00,0.4,1.0,1.1,30.5,87.0
2025-10-03 12:00:00+08:00,14.2,19.6,21.3,29.2,90.0
2025-10-03 13:00:00+08:00,1.2,2.0,2.2,28.1,94.0
2025-10-03 14:00:00+08:00,0.0,0.0,0.0,26.4,91.0
2025-10-03 15:00:00+08:00,0.0,0.0,0.0,26.8,92.0
2025-10-03 16:00:00+08:00,8.7,13.2,13.7,27.8,92.0
2025-10-03 17:00:00+08:00,16.0,23.8,26.0,28.6,93.0
2025-10-03 18:00:00+08:00,18.2,24.5,26.3,29.0,96.0
2025-10-03 19:00:00+08:00,1.4,2.5,2.6,31.6,95.0
2025-10-03 20:00:00+08:00,0.7,1.3,1.4,33.2,93.0
2025-10-04 07:00:00+08:00,0.8,1.7,1.8,33.6,65.0
2025-10-04 08:00:00+08:00,27.6,38.4,40.9,33.7,73.0
2025-10-04 12:00:00+08:00,2.9,4.8,5.3,35.1,66.0
2025-10-04 13:00:00+08:00,4.1,6.6,7.0,34.6,69.0
2025-10-04 17:00:00+08:00,10.3,13.8,14.8,31.6,79.0
2025-10-04 18:00:00+08:00,22.8,31.4,34.8,30.6,81.0
2025-10-04 19:00:00+08:00,1.3,2.2,2.3,31.8,76.0
2025-10-05 07:00:00+08:00,0.3,0.5,0.5,33.8,62.0
2025-10-05 08:00:00+08:00,36.0,50.7,57.8,33.7,72.0
2025-10-05 09:00:00+08:00,35.1,52.3,58.8,32.8,76.0
2025-10-05 10:00:00+08:00,1.5,3.4,3.5,32.4,71.0
2025-10-05 11:00:00+08:00,1.1,2.0,2.2,32.7,69.0
2025-10-05 12:00:00+08:00,21.7,33.4,37.4,34.1,70.0
2025-10-05 13:00:00+08:00,13.1,19.9,21.5,36.2,63.0
2025-10-05 14:00:00+08:00,2.8,4.8,4.9,33.4,65.0
2025-10-05 15:00:00+08:00,0.0,0.0,0.0,34.1,65.0
2025-10-05 16:00:00+08:00,0.0,0.0,0.0,35.3,64.0
2025-10-05 17:00:00+08:00,9.6,13.4,14.7,33.8,73.0
2025-10-05 18:00:00+08:00,4.6,8.0,8.5,31.9,74.0
2025-10-05 19:00:00+08:00,0.1,0.2,0.2,34.2,73.0
2025-10-06 06:00:00+08:00,0.1,0.7,0.7,33.2,62.0
2025-10-06 07:00:00+08:00,0.0,0.0,0.0,34.9,61.0
2025-10-06 08:00:00+08:00,18.9,26.8,29.0,34.6,69.0
2025-10-06 09:00:00+08:00,18.7,26.9,30.2,33.5,72.0
2025-10-06 10:00:00+08:00,0.0,0.1,0.1,34.0,68.0
2025-10-06 11:00:00+08:00,0.5,1.1,1.1,34.8,65.0
2025-10-06 12:00:00+08:00,13.8,20.5,21.0,34.6,71.0
2025-10-06 13:00:00+08:00,15.0,22.2,23.7,35.6,67.0
2025-10-06 14:00:00+08:00,0.2,0.4,0.4,33.4,67.0
2025-10-06 15:00:00+08:00,0.0,0.0,0.1,33.4,66.0
2025-10-06 16:00:00+08:00,10.0,13.8,16.1,34.0,66.0
2025-10-06 17:00:00+08:00,11.6,17.1,18.4,32.1,76.0
2025-10-06 18:00:00+08:00,25.8,35.4,40.2,32.3,79.0
2025-10-06 19:00:00+08:00,18.6,26.5,29.7,31.1,83.0
2025-10-06 20:00:00+08:00,18.7,26.5,28.7,30.0,87.0
2025-10-06 21:00:00+08:00,1.7,3.5,3.6,29.2,82.0
2025-10-07 06:00:00+08:00,7.9,13.0,13.5,29.8,86.0
2025-10-07 07:00:00+08:00,0.3,1.1,1.1,32.0,73.0
2025-10-07 08:00:00+08:00,31.4,43.2,49.5,33.3,72.0
2025-10-07 09:00:00+08:00,15.6,24.2,26.6,34.5,68.0
2025-10-07 10:00:00+08:00,0.0,0.0,0.0,34.1,69.0
2025-10-07 11:00:00+08:00,1.3,2.7,2.9,34.5,68.0
2025-10-07 12:00:00+08:00,32.2,46.3,54.2,35.0,68.0
2025-10-07 13:00:00+08:00,20.5,30.3,33.6,35.6,66.0
2025-10-07 14:00:00+08:00,0.3,0.7,0.7,32.2,69.0
2025-10-07 15:00:00+08:00,1.7,3.1,3.2,31.7,71.0
2025-10-07 16:00:00+08:00,6.5,10.7,11.8,34.2,69.0
2025-10-07 17:00:00+08:00,21.3,31.6,34.7,33.2,75.0
2025-10-07 18:00:00+08:00,26.8,38.2,44.3,32.9,75.0
2025-10-07 19:00:00+08:00,20.1,28.3,31.7,32.9,68.0
2025-10-07 20:00:00+08:00,16.6,24.6,27.2,32.3,73.0
2025-10-07 21:00:00+08:00,3.5,6.4,6.7,33.8,69.0
2025-10-07 22:00:00+08:00,7.5,15.4,17.7,35.8,67.0
2025-10-08 06:00:00+08:00,12.5,19.6,22.4,31.1,82.0
2025-10-08 07:00:00+08:00,0.0,0.0,0.0,34.5,73.0
2025-10-08 08:00:00+08:00,19.7,28.1,30.8,32.0,78.0
2025-10-08 09:00:00+08:00,21.8,30.7,34.2,31.2,81.0
2025-10-08 10:00:00+08:00,0.3,0.9,0.9,32.4,74.0
2025-10-08 11:00:00+08:00,0.7,1.4,1.6,31.8,73.0
2025-10-08 12:00:00+08:00,23.0,34.1,38.0,30.7,86.0
2025-10-08 13:00:00+08:00,26.7,38.5,44.3,32.2,82.0
2025-10-08 14:00:00+08:00,0.4,0.9,0.9,32.3,80.0
2025-10-08 15:00:00+08:00,0.0,0.0,0.0,32.7,78.0
2025-10-08 16:00:00+08:00,0.0,0.0,0.0,33.0,76.0
2025-10-08 18:00:00+08:00,31.9,43.8,50.8,29.1,84.0
2025-10-08 19:00:00+08:00,48.3,64.4,69.6,28.7,88.0
2025-10-09 08:00:00+08:00,32.4,44.0,49.6,29.9,86.0
2025-10-09 09:00:00+08:00,26.4,37.9,43.5,32.6,77.0
2025-10-09 10:00:00+08:00,5.5,8.9,9.8,31.6,76.0
2025-10-09 11:00:00+08:00,0.2,1.2,1.4,31.0,73.0
2025-10-09 12:00:00+08:00,16.4,26.8,28.8,32.4,78.0
2025-10-09 13:00:00+08:00,25.0,37.1,41.5,32.0,84.0
2025-10-09 14:00:00+08:00,0.9,2.1,2.2,30.7,85.0
2025-10-09 15:00:00+08:00,0.0,0.0,0.0,29.5,86.0
2025-10-09 16:00:00+08:00,30.2,42.2,46.4,27.4,86.0
2025-10-09 17:00:00+08:00,16.6,24.1,25.3,30.0,85.0
2025-10-09 18:00:00+08:00,12.7,19.0,20.3,28.6,91.0
2025-10-09 19:00:00+08:00,7.6,11.4,11.8,29.5,93.0
2025-12-17 16:00:00+08:00,3.2,5.7,6.0,30.0,76.0
2025-12-17 17:00:00+08:00,5.6,10.2,10.9,29.5,75.0
2025-12-17 23:00:00+08:00,26.8,38.7,45.5,28.7,78.0
2025-12-18 00:00:00+08:00,27.8,40.2,47.5,28.3,79.0
2025-12-18 01:00:00+08:00,27.8,40.6,48.2,27.9,81.0
2025-12-18 05:00:00+08:00,22.6,31.5,34.0,27.8,83.0
2025-12-18 06:00:00+08:00,28.2,41.0,48.1,27.4,83.0
2025-12-18 07:00:00+08:00,19.7,30.4,33.7,29.4,77.0
2025-12-18 08:00:00+08:00,4.2,7.3,7.8,31.6,71.0
2025-12-18 09:00:00+08:00,2.3,4.6,4.9,32.2,70.0
2025-12-18 10:00:00+08:00,4.3,7.8,8.3,31.9,70.0
2025-12-18 11:00:00+08:00,2.8,5.6,6.1,31.2,71.0
2025-12-18 12:00:00+08:00,2.4,4.6,4.9,31.6,71.0
2025-12-18 13:00:00+08:00,2.9,5.4,5.9,32.3,69.0
2025-12-18 14:00:00+08:00,3.5,6.3,6.8,30.7,77.0
2025-12-18 15:00:00+08:00,3.9,6.8,7.3,31.6,71.0
2025-12-18 16:00:00+08:00,9.5,16.5,17.4,30.9,74.0
2025-12-18 17:00:00+08:00,11.9,18.9,19.7,29.6,77.0
2025-12-18 18:00:00+08:00,16.0,23.9,26.6,27.4,86.0
2025-12-18 19:00:00+08:00,32.5,47.3,57.5,28.3,85.0
2025-12-18 20:00:00+08:00,28.6,41.6,49.5,28.5,84.0
2025-12-18 21:00:00+08:00,28.1,40.9,48.5,28.6,82.0
2025-12-18 22:00:00+08:00,28.2,41.0,48.7,28.3,82.0
2025-12-18 23:00:00+08:00,26.6,38.3,44.9,28.2,81.0
2025-12-19 00:00:00+08:00,27.4,39.4,46.9,28.3,81.0
