Location ID,Location Name,Location Group,Location Type,Sensor ID,Place Open,Local Date/Time,UTC Date/Time,# of aggregated records,PM2.5 (��g/m�,PM2.5 (��g/m��) c,0.3��m particle c,CO2 (ppm) raw,CO2 (ppm) corrected,Temperature (��C),Temperature (��C) corre,Heat Index (��,Humidity (%) raw,Humidity (%) corrected,TVOC (ppb),TVOC index,NOX index,PM1 (��g/,PM10 (��g/,measure0,measure1,measure2,measure3,measure4,measure5,measure6,measure7,measure8,measure9,measure10,measure11,measure12,measure13,measure14,measure15,measure16,measure17,measure18,measure19,timestamp
180021,Cubao,,Outdoor,airgradient:d83bda1c3fb8,False,12/21/2025 23:00,2025-12-21T15:00:00.000Z,48,14.0,27.1,700,740,740,31.1,31.6,41.3,54,76,89,94,1,6.9,15.9,,,,,,,,,,,,,,,,,,,,,2025-12-21 23:00:00+08:00
180021,Cubao,,Outdoor,airgradient:d83bda1c3fb8,False,12/22/2025 0:00,2025-12-21T16:00:00.000Z,60,22.0,26.0,957,638,638,31.1,31.7,40.8,53,74,86,91,1,13.3,23.5,,,,,,,,,,,,,,,,,,,,,2025-12-22 00:00:00+08:00
180021,Cubao,,Outdoor,airgradient:d83bda1c3fb8,False,12/22/2025 1:00,2025-12-21T17:00:00.000Z,58,32.7,32.7,1504,580,580,31.0,31.5,40.2,52,73,54,56,1,23.1,36.9,,,,,,,,,,,,,,,,,,,,,2025-12-22 01:00:00+08:00
180021,Cubao,,Outdoor,airgradient:d83bda1c3fb8,False,12/22/2025 2:00,2025-12-21T18:00:00.000Z,60,22.1,26.1,975,533,533,30.9,31.4,39.7,52,73,34,32,1,14.8,23.6,,,,,,,,,,,,,,,,,,,,,2025-12-22 02:00:00+08:00
180021,Cubao,,Outdoor,airgradient:d83bda1c3fb8,False,12/22/2025 3:00,2025-12-21T19:00:00.000Z,60,2.4,11.7,303,510,510,30.8,31.2,38.9,51,72,18,11,1,0.9,2.6,,,,,,,,,,,,,,,,,,,,,2025-12-22 03:00:00+08:00
180021,Cubao,,Outdoor,airgradient:d83bda1c3fb8,False,12/22/2025 4:00,2025-12-21T20:00:00.000Z,60,4.7,17.1,442,519,519,30.7,31.1,38.5,51,72,35,32,1,2.7,5.0,,,,,,,,,,,,,,,,,,,,,2025-12-22 04:00:00+08:00
180021,Cubao,,Outdoor,airgradient:d83bda1c3fb8,False,12/22/2025 5:00,2025-12-21T21:00:00.000Z,60,4.8,17.0,439,512,512,30.6,31.1,38.2,51,71,21,15,1,2.4,5.2,,,,,,,,,,,,,,,,,,,,,2025-12-22 05:00:00+08:00
180021,Cubao,,Outdoor,airgradient:d83bda1c3fb8,False,12/22/2025 6:00,2025-12-21T22:00:00.000Z,60,22.0,25.7,979,537,537,30.6,31.0,38.2,51,72,27,23,1,14.0,23.8,,,,,,,,,,,,,,,,,,,,,2025-12-22 06:00:00+08:00
180021,Cubao,,Outdoor,airgradient:d83bda1c3fb8,False,12/22/2025 7:00,2025-12-21T23:00:00.000Z,60,31.4,31.4,1388,567,567,30.6,31.0,38.4,52,73,38,37,2,22.2,34.8,,,,,,,,,,,,,,,,,,,,,2025-12-22 07:00:00+08:00
180021,Cubao,,Outdoor,airgradient:d83bda1c3fb8,True,12/22/2025 8:00,2025-12-22T00:00:00.000Z,60,21.9,24.2,960,478,478,30.8,31.2,38.7,51,72,28,25,2,13.8,23.3,,,,,,,,,,,,,,,,,,,,,2025-12-22 08:00:00+08:00
180021,Cubao,,Outdoor,airgradient:d83bda1c3fb8,True,12/22/2025 9:00,2025-12-22T01:00:00.000Z,60,30.3,31.1,1361,435,435,31.1,31.6,38.7,49,69,25,21,3,20.6,34.1,,,,,,,,,,,,,,,,,,,,,2025-12-22 09:00:00+08:00
180021,Cubao,,Outdoor,airgradient:d83bda1c3fb8,True,12/22/2025 10:00,2025-12-22T02:00:00.000Z,60,22.0,26.3,942,482,482,31.1,31.6,39.6,51,72,26,22,1,12.5,24.2,,,,,,,,,,,,,,,,,,,,,2025-12-22 10:00:00+08:00
180021,Cubao,,Outdoor,airgradient:d83bda1c3fb8,True,12/22/2025 11:00,2025-12-22T03:00:00.000Z,60,4.2,15.1,391,432,432,30.7,31.1,38.9,52,73,22,17,1,1.9,4.6,,,,,,,,,,,,,,,,,,,,,2025-12-22 11:00:00+08:00
180021,Cubao,,Outdoor,airgradient:d83bda1c3fb8,True,12/22/2025 12:00,2025-12-22T04:00:00.000Z,60,1.4,10.5,271,411,411,30.7,31.1,38.4,51,71,22,17,1,0.0,1.8,,,,,,,,,,,,,,,,,,,,,2025-12-22 12:00:00+08:00
180021,Cubao,,Outdoor,airgradient:d83bda1c3fb8,True,12/22/2025 13:00,2025-12-22T05:00:00.000Z,56,3.2,13.6,351,400,400,31.2,31.7,39.3,49,69,30,27,1,1.1,3.6,,,,,,,,,,,,,,,,,,,,,2025-12-22 13:00:00+08:00
180021,Cubao,,Outdoor,airgradient:d83bda1c3fb8,True,12/22/2025 14:00,2025-12-22T06:00:00.000Z,49,0.8,8.8,229,403,403,31.4,32.0,39.8,49,69,28,24,1,0.2,0.9,,,,,,,,,,,,,,,,,,,,,2025-12-22 14:00:00+08:00
180021,Cubao,,Outdoor,airgradient:d83bda1c3fb8,True,12/22/2025 15:00,2025-12-22T07:00:00.000Z,60,0.5,8.5,219,420,420,31.8,32.5,41.0,48,68,37,35,1,0.0,0.8,,,,,,,,,,,,,,,,,,,,,2025-12-22 15:00:00+08:00
180021,Cubao,,Outdoor,airgradient:d83bda1c3fb8,True,12/22/2025 16:00,2025-12-22T08:00:00.000Z,58,2.1,11.0,284,425,425,31.8,32.4,40.6,48,68,38,37,1,0.4,2.3,,,,,,,,,,,,,,,,,,,,,2025-12-22 16:00:00+08:00
180021,Cubao,,Outdoor,airgradient:d83bda1c3fb8,True,12/22/2025 17:00,2025-12-22T09:00:00.000Z,60,4.5,14.8,383,452,452,31.7,32.3,40.3,47,67,47,48,2,1.8,4.8,,,,,,,,,,,,,,,,,,,,,2025-12-22 17:00:00+08:00
180021,Cubao,,Outdoor,airgradient:d83bda1c3fb8,True,12/22/2025 18:00,2025-12-22T10:00:00.000Z,60,9.8,22.7,587,451,451,31.1,31.7,38.7,48,68,45,45,2,5.3,10.7,,,,,,,,,,,,,,,,,,,,,2025-12-22 18:00:00+08:00
180021,Cubao,,Outdoor,airgradient:d83bda1c3fb8,True,12/22/2025 19:00,2025-12-22T11:00:00.000Z,59,21.9,26.0,951,590,590,31.2,31.7,39.5,49,69,59,61,3,13.0,23.9,,,,,,,,,,,,,,,,,,,,,2025-12-22 19:00:00+08:00
180021,Cubao,,Outdoor,airgradient:d83bda1c3fb8,False,12/22/2025 20:00,2025-12-22T12:00:00.000Z,60,14.2,25.4,686,573,573,31.4,32.0,40.3,50,70,71,75,2,6.9,15.8,,,,,,,,,,,,,,,,,,,,,2025-12-22 20:00:00+08:00
180021,Cubao,,Outdoor,airgradient:d83bda1c3fb8,False,12/22/2025 21:00,2025-12-22T13:00:00.000Z,60,9.0,22.4,580,592,592,31.4,32.0,39.9,49,69,464,245,2,5.0,10.5,,,,,,,,,,,,,,,,,,,,,2025-12-22 21:00:00+08:00
180021,Cubao,,Outdoor,airgradient:d83bda1c3fb8,False,12/22/2025 22:00,2025-12-22T14:00:00.000Z,58,6.6,19.1,495,582,582,31.4,32.0,39.9,49,69,115,121,2,3.8,7.2,,,,,,,,,,,,,,,,,,,,,2025-12-22 22:00:00+08:00
180021,Cubao,,Outdoor,airgradient:d83bda1c3fb8,False,12/22/2025 23:00,2025-12-22T15:00:00.000Z,60,3.8,14.5,376,553,553,31.4,32.0,39.7,48,68,67,71,2,1.8,4.1,,,,,,,,,,,,,,,,,,,,,2025-12-22 23:00:00+08:00
180021,Cubao,,Outdoor,airgradient:d83bda1c3fb8,False,12/23/2025 0:00,2025-12-22T16:00:00.000Z,60,3.1,13.4,348,530,530,31.3,31.9,39.2,48,67,196,146,2,0.7,3.4,,,,,,,,,,,,,,,,,,,,,2025-12-23 00:00:00+08:00
