timestamp,PM1 (��g/,PM2.5 (��g/m��) c,PM10 (��g/,Temperature (��C) corre,Humidity (%) corrected
2025-10-03 06:00:00+08:00,18.1,30.0,33.0,28.3,65
2025-10-03 07:00:00+08:00,4.8,12.4,13.2,28.1,64
2025-10-03 08:00:00+08:00,47.5,65.8,71.1,29.2,61
2025-10-03 09:00:00+08:00,29.3,42.6,46.0,27.6,66
2025-10-03 10:00:00+08:00,21.3,30.9,36.9,27.9,66
2025-10-03 11:00:00+08:00,37.7,51.7,63.7,28.8,61
2025-10-03 12:00:00+08:00,30.2,42.3,46.2,27.7,65
2025-10-03 13:00:00+08:00,34.7,50.8,56.7,27.5,67
2025-10-03 16:00:00+08:00,27.4,42.4,50.5,29.6,59
2025-10-03 17:00:00+08:00,63.1,91.9,97.6,27.8,66
2025-10-04 07:00:00+08:00,41.1,56.2,62.4,30.6,55
2025-10-04 08:00:00+08:00,35.1,50.2,56.8,29.8,56
2025-10-04 09:00:00+08:00,14.0,24.4,26.5,29.2,54
2025-10-04 10:00:00+08:00,4.2,8.9,9.3,31.0,53
2025-10-04 11:00:00+08:00,11.5,17.5,18.1,28.7,55
2025-10-04 12:00:00+08:00,26.6,38.1,42.6,33.9,47
2025-10-04 13:00:00+08:00,24.9,35.6,38.9,32.2,50
2025-10-04 16:00:00+08:00,9.3,18.9,20.4,24.9,65
2025-10-04 17:00:00+08:00,37.5,53.5,60.3,28.4,60
2025-10-04 18:00:00+08:00,56.1,80.0,87.3,30.5,57
2025-10-04 19:00:00+08:00,49.9,74.0,80.9,29.4,60
2025-10-04 20:00:00+08:00,55.0,84.0,91.5,28.3,62
2025-10-05 06:00:00+08:00,35.3,53.2,64.9,28.8,61
2025-10-05 07:00:00+08:00,37.4,55.0,65.1,28.4,61
2025-10-05 08:00:00+08:00,58.6,90.9,96.3,29.3,59
2025-10-05 09:00:00+08:00,53.5,86.7,91.0,30.1,55
2025-10-05 10:00:00+08:00,39.5,64.0,72.2,30.4,52
2025-10-05 11:00:00+08:00,45.4,72.2,77.8,28.3,49
2025-10-05 12:00:00+08:00,82.8,136.4,140.9,31.3,55
2025-10-05 13:00:00+08:00,30.7,45.6,49.7,31.4,49
2025-10-05 16:00:00+08:00,4.0,8.2,8.2,31.2,48
2025-10-05 17:00:00+08:00,37.4,50.9,55.8,30.7,55
2025-10-05 18:00:00+08:00,51.2,73.5,78.6,31.4,54
2025-10-05 19:00:00+08:00,33.8,48.9,55.5,30.6,57
2025-10-05 20:00:00+08:00,37.3,52.0,57.6,29.8,59
2025-10-05 21:00:00+08:00,27.0,38.7,45.6,29.3,55
2025-10-06 07:00:00+08:00,22.2,33.0,36.8,29.2,50
2025-10-06 08:00:00+08:00,60.9,87.6,94.3,28.9,61
2025-10-06 09:00:00+08:00,43.7,63.5,71.9,28.6,53
2025-10-06 10:00:00+08:00,31.5,47.7,59.0,25.4,51
2025-10-06 11:00:00+08:00,27.5,41.2,48.1,27.3,45
2025-10-06 12:00:00+08:00,33.6,49.1,56.6,31.0,56
2025-10-06 13:00:00+08:00,35.4,50.2,54.4,30.7,53
2025-10-06 16:00:00+08:00,29.6,42.9,47.9,28.9,57
2025-10-06 17:00:00+08:00,51.2,72.2,78.2,28.6,63
2025-10-06 18:00:00+08:00,88.0,166.8,180.6,28.5,54
2025-10-06 19:00:00+08:00,49.6,72.5,79.2,29.0,62
2025-10-06 20:00:00+08:00,68.9,96.5,101.6,29.0,63
2025-10-07 07:00:00+08:00,25.8,37.7,43.7,27.3,56
2025-10-07 08:00:00+08:00,52.3,73.4,79.9,29.3,58
2025-10-07 09:00:00+08:00,31.0,46.6,56.2,29.3,52
2025-10-07 10:00:00+08:00,27.6,41.3,49.3,27.9,52
2025-10-07 12:00:00+08:00,50.0,73.4,80.7,32.4,51
2025-10-07 13:00:00+08:00,44.7,66.4,71.9,33.5,47
2025-10-07 16:00:00+08:00,17.7,30.8,34.0,27.7,56
2025-10-07 17:00:00+08:00,49.8,75.4,81.4,30.5,55
