timestamp,PM1 (��g/,PM2.5 (��g/m��) c,PM10 (��g/,CO2 (ppm) corrected,TVOC (ppb),Temperature (��C) corre,Humidity (%) corrected
2025-10-02 08:00:00+08:00,57.6,88.0,94.5,,,26.6,92.0
2025-10-02 09:00:00+08:00,16.7,26.96,28.82,1322.0,85.2,30.98,76.6
2025-10-02 10:00:00+08:00,14.9,23.6,24.1,,,31.5,74.0
2025-10-03 09:00:00+08:00,12.233333333333334,18.7,20.216666666666665,414.1666666666667,89.33333333333333,25.65,94.83333333333331
2025-10-03 10:00:00+08:00,2.4,5.0,5.6,,,27.9,92.0
2025-10-03 12:00:00+08:00,9.066666666666666,15.75,16.816666666666666,492.1666666666667,107.66666666666669,27.616666666666664,87.33333333333333
2025-10-03 13:00:00+08:00,3.3,5.4,5.6,,,30.3,85.0
2025-10-03 17:00:00+08:00,26.7,37.6,43.3,,,23.3,100.0
2025-10-03 18:00:00+08:00,24.45,34.166666666666664,38.0,469.5,112.83333333333331,29.58333333333333,86.16666666666667
2025-10-03 19:00:00+08:00,32.2,45.5,52.0,,,30.5,82.0
2025-10-03 20:00:00+08:00,26.2,37.2,43.0,,,30.7,82.0
2025-10-06 09:00:00+08:00,40.8,58.2,62.9,,,32.3,76.0
2025-10-06 10:00:00+08:00,16.0,24.0,25.0,,,35.1,64.0
2025-10-06 13:00:00+08:00,26.3,39.1,44.5,,,33.0,74.0
2025-10-06 14:00:00+08:00,26.7,38.4,44.1,,,35.3,68.0
2025-10-06 18:00:00+08:00,30.38333333333333,43.53333333333333,50.11666666666667,582.3333333333334,101.0,30.95,79.33333333333333
2025-10-06 19:00:00+08:00,33.2,47.9,54.4,,,32.7,72.0
2025-10-06 20:00:00+08:00,30.5,43.0,49.2,,,32.8,64.0
2025-10-07 08:00:00+08:00,10.2,14.3,14.8,,,25.6,63.0
2025-10-07 09:00:00+08:00,7.8,12.4,13.2,,,27.5,57.0
2025-10-07 10:00:00+08:00,34.980000000000004,48.92,54.56,494.2,21.0,33.059999999999995,69.4
2025-10-07 12:00:00+08:00,39.6,66.8,74.7,,,21.6,100.0
2025-10-07 13:00:00+08:00,29.416666666666668,44.75,51.9,496.8333333333333,109.83333333333331,31.1,73.5
2025-10-07 18:00:00+08:00,29.866666666666664,44.65,51.78333333333333,451.6666666666667,101.5,31.71666666666667,72.33333333333333
2025-10-07 19:00:00+08:00,39.11666666666667,55.65,63.13333333333333,458.1666666666667,198.5,32.15,69.5
2025-10-07 20:00:00+08:00,26.7,39.3,46.2,,,31.9,71.0
2025-10-08 09:00:00+08:00,26.8,38.4,44.2,,,28.1,88.0
2025-10-08 10:00:00+08:00,34.6,48.6,55.1,,,29.4,87.0
2025-10-08 12:00:00+08:00,29.5,44.4,51.8,,,28.0,90.0
2025-10-08 13:00:00+08:00,31.2,47.583333333333336,54.91666666666666,676.3333333333334,91.16666666666669,30.95,77.5
2025-10-08 14:00:00+08:00,34.4,55.3,63.8,,,33.4,75.0
2025-10-08 18:00:00+08:00,36.3,53.2,59.9,,,31.4,75.0
2025-10-08 19:00:00+08:00,37.5,55.3,63.3,,,32.8,70.0
2025-10-08 20:00:00+08:00,43.1,62.7,69.6,,,33.0,73.0
2025-10-09 09:00:00+08:00,21.2,31.0,34.0,,,27.6,82.0
2025-10-09 10:00:00+08:00,9.52,14.22,15.12,460.6,114.6,31.42,74.4
2025-10-09 12:00:00+08:00,25.8,37.5,41.7,,,30.7,82.0
2025-10-09 13:00:00+08:00,34.0,52.5,58.1,,,33.0,71.0
2025-10-09 17:00:00+08:00,28.5,40.6,45.6,,,25.0,96.0
2025-10-09 18:00:00+08:00,30.2,43.9,49.6,,,30.6,76.0
