timestamp,PM1 (��g/,PM2.5 (��g/m��) c,PM10 (��g/,CO2 (ppm) corrected,TVOC (ppb),Temperature (��C) corre,Humidity (%) corrected
2026-01-21 10:10:00+08:00,6.0,7.6,15.3,428.0,65.0,17.7,62.0
2026-01-21 10:20:00+08:00,6.8,9.8,17.6,379.0,70.0,29.2,68.0
2026-01-21 10:30:00+08:00,6.5,9.4,18.3,422.0,91.0,30.0,67.0
2026-01-21 10:40:00+08:00,7.8,9.2,17.5,417.0,100.0,30.0,66.0
2026-01-21 10:50:00+08:00,20.5,17.7,34.0,445.0,104.0,29.9,70.0
2026-01-21 11:00:00+08:00,22.9,19.6,38.2,417.0,95.0,30.0,71.0
2026-01-21 11:10:00+08:00,24.2,21.6,41.9,427.0,92.0,30.0,71.0
2026-01-21 11:20:00+08:00,25.8,25.0,46.0,422.0,125.0,30.0,71.0
2026-01-21 12:20:00+08:00,24.1,21.9,41.4,403.0,68.0,29.5,69.0
2026-01-21 12:30:00+08:00,23.3,20.9,39.2,407.0,73.0,29.1,70.0
2026-01-21 12:40:00+08:00,22.9,19.9,38.4,403.0,52.0,28.9,70.0
2026-01-21 12:50:00+08:00,22.8,19.9,37.7,408.0,86.0,29.0,70.0
2026-01-21 13:00:00+08:00,22.8,20.0,39.2,411.0,105.0,29.1,69.0
2026-01-21 13:10:00+08:00,9.8,9.8,17.8,403.0,130.0,29.1,68.0
2026-01-21 15:50:00+08:00,0.0,1.5,1.7,390.0,93.0,28.8,66.0
2026-01-21 16:00:00+08:00,3.0,4.8,6.9,396.0,44.0,28.8,65.0
2026-01-21 16:10:00+08:00,2.4,2.8,5.2,396.0,30.0,28.7,66.0
2026-01-22 10:00:00+08:00,4.2,5.3,10.3,412.0,35.0,24.2,72.0
2026-01-22 10:10:00+08:00,4.1,5.7,10.3,394.0,92.0,26.2,67.0
2026-01-22 10:20:00+08:00,4.8,6.4,10.1,397.0,101.0,28.0,63.0
2026-01-22 10:30:00+08:00,3.7,5.7,8.4,390.0,97.0,28.7,60.0
2026-01-22 10:40:00+08:00,5.1,6.9,10.8,389.0,103.0,29.0,60.0
2026-01-22 10:50:00+08:00,4.1,6.1,8.6,392.0,101.0,29.4,59.0
2026-01-22 11:00:00+08:00,7.6,9.8,17.1,419.0,107.0,29.5,58.0
2026-01-22 11:10:00+08:00,7.6,10.5,19.2,397.0,205.0,29.5,58.0
2026-01-22 11:20:00+08:00,19.5,16.7,31.8,419.0,182.0,29.4,60.0
2026-01-22 11:30:00+08:00,21.9,20.5,39.1,478.0,537.0,29.6,61.0
2026-01-22 11:40:00+08:00,20.7,17.9,33.3,438.0,108.0,29.7,60.0
2026-01-22 11:50:00+08:00,21.7,18.8,35.2,410.0,84.0,29.5,60.0
2026-01-22 12:00:00+08:00,22.2,19.0,36.1,406.0,85.0,29.5,60.0
2026-01-22 12:10:00+08:00,22.2,19.7,37.1,411.0,93.0,29.7,59.0
2026-01-22 12:20:00+08:00,17.6,15.3,28.9,422.0,101.0,29.8,59.0
2026-01-22 12:30:00+08:00,23.0,20.7,37.5,409.0,82.0,29.2,62.0
2026-01-22 12:40:00+08:00,22.5,20.2,38.5,411.0,71.0,28.8,62.0
2026-01-22 12:50:00+08:00,22.3,19.9,37.9,410.0,78.0,28.6,63.0
2026-01-22 13:00:00+08:00,22.3,18.7,36.5,415.0,98.0,28.7,63.0
2026-01-22 13:10:00+08:00,22.5,19.4,36.2,421.0,151.0,28.9,62.0
2026-01-22 13:20:00+08:00,21.9,18.9,35.7,411.0,107.0,29.2,62.0
2026-01-22 13:30:00+08:00,3.8,6.4,9.3,400.0,99.0,29.4,59.0
2026-01-22 13:40:00+08:00,0.1,3.3,2.4,403.0,110.0,29.0,58.0
2026-01-22 13:50:00+08:00,0.1,3.3,2.6,404.0,87.0,28.9,59.0
2026-01-22 15:00:00+08:00,0.5,2.6,2.8,403.0,78.0,28.2,61.0
2026-01-22 15:10:00+08:00,0.5,3.1,3.5,401.0,65.0,27.9,62.0
2026-01-22 15:20:00+08:00,0.4,2.9,2.5,402.0,60.0,27.9,62.0
2026-01-22 15:30:00+08:00,0.5,3.6,3.8,402.0,64.0,27.9,61.0
2026-01-22 15:40:00+08:00,0.5,3.2,3.1,401.0,76.0,28.1,62.0
2026-01-22 15:50:00+08:00,0.2,2.6,2.1,401.0,111.0,28.1,62.0
2026-01-22 16:00:00+08:00,1.0,3.8,4.2,400.0,103.0,28.2,61.0
2026-01-22 16:10:00+08:00,0.3,3.7,3.4,400.0,93.0,28.1,60.0
2026-01-22 16:20:00+08:00,1.5,4.2,5.4,400.0,83.0,28.0,60.0
2026-01-22 16:30:00+08:00,1.1,4.2,4.9,400.0,87.0,28.0,61.0
2026-01-22 16:40:00+08:00,1.2,4.4,5.1,400.0,79.0,27.8,61.0
2026-01-22 16:50:00+08:00,0.4,4.0,4.2,402.0,82.0,27.6,62.0
2026-01-22 17:40:00+08:00,4.4,6.4,10.2,407.0,225.0,26.9,64.0
2026-01-22 17:50:00+08:00,2.8,5.1,7.5,408.0,256.0,26.8,64.0
2026-01-24 05:50:00+08:00,21.3,16.3,37.8,453.0,36.0,18.6,96.0
2026-01-26 05:20:00+08:00,25.7,24.9,49.7,439.0,53.0,19.7,97.0
2026-01-26 05:30:00+08:00,27.7,28.4,53.2,466.0,94.0,22.1,89.0
2026-01-26 05:40:00+08:00,34.8,37.9,62.1,448.0,99.0,23.7,83.0
2026-01-26 05:50:00+08:00,48.8,53.8,80.1,450.0,105.0,24.3,81.0
2026-01-26 06:00:00+08:00,31.6,34.7,59.2,448.0,96.0,24.5,80.0
2026-01-26 08:10:00+08:00,28.2,29.4,52.1,439.0,83.0,25.4,77.0
2026-01-26 08:20:00+08:00,29.1,30.9,54.2,438.0,485.0,25.6,77.0
2026-01-26 08:30:00+08:00,31.5,35.0,57.9,444.0,76.0,25.8,76.0
2026-01-26 08:40:00+08:00,32.0,36.4,60.3,456.0,111.0,26.2,76.0
2026-01-26 08:50:00+08:00,30.1,33.3,56.0,460.0,207.0,27.7,72.0
2026-01-26 09:00:00+08:00,31.8,36.3,59.3,452.0,440.0,28.6,70.0
2026-01-26 09:10:00+08:00,36.1,42.2,65.8,453.0,302.0,28.2,70.0
2026-01-26 09:20:00+08:00,33.5,40.1,63.5,442.0,272.0,27.7,71.0
2026-01-26 09:30:00+08:00,32.3,37.0,60.4,458.0,656.0,27.6,72.0
2026-01-26 09:40:00+08:00,32.1,35.6,58.3,431.0,60.0,27.8,72.0
2026-01-26 09:50:00+08:00,29.8,32.2,55.0,451.0,294.0,28.0,71.0
