timestamp,PM1 (��g/,PM2.5 (��g/m��) c,PM10 (��g/,CO2 (ppm) corrected,TVOC (ppb),Temperature (��C) corre,Humidity (%) corrected
2025-12-21 23:10:00+08:00,6.8,27.1,14.4,795.0,60.0,30.2,83.0
2025-12-21 23:20:00+08:00,7.0,27.6,15.6,981.0,92.0,31.4,78.0
2025-12-21 23:30:00+08:00,6.7,26.6,15.1,700.0,85.0,32.0,74.0
2025-12-21 23:40:00+08:00,7.2,26.7,16.7,608.0,93.0,31.9,73.0
2025-12-21 23:50:00+08:00,7.0,27.5,16.5,593.0,93.0,31.9,73.0
2025-12-22 00:00:00+08:00,7.1,28.1,17.6,655.0,93.0,31.8,74.0
2025-12-22 00:10:00+08:00,8.2,27.0,19.4,656.0,93.0,31.7,74.0
2025-12-22 08:20:00+08:00,14.2,22.5,22.2,479.0,29.0,31.1,72.0
2025-12-22 08:30:00+08:00,11.4,21.1,22.5,453.0,26.0,31.2,71.0
2025-12-22 08:40:00+08:00,9.4,21.1,19.9,462.0,25.0,31.3,71.0
2025-12-22 08:50:00+08:00,8.1,25.3,18.5,452.0,25.0,31.5,70.0
2025-12-22 09:00:00+08:00,12.1,25.6,22.1,428.0,23.0,31.6,68.0
2025-12-22 09:10:00+08:00,22.2,31.8,35.2,433.0,24.0,31.6,68.0
2025-12-22 10:20:00+08:00,14.4,28.4,28.0,504.0,27.0,31.7,71.0
2025-12-22 10:30:00+08:00,19.6,30.5,34.9,491.0,26.0,31.5,72.0
2025-12-22 10:40:00+08:00,12.7,25.0,24.1,498.0,26.0,31.4,74.0
2025-12-22 10:50:00+08:00,7.5,25.7,17.8,454.0,26.0,31.4,74.0
2025-12-22 11:00:00+08:00,4.9,22.1,9.6,455.0,25.0,31.3,73.0
2025-12-22 11:10:00+08:00,0.9,12.5,3.4,414.0,22.0,31.2,72.0
2025-12-22 12:00:00+08:00,0.1,10.3,1.7,409.0,22.0,31.0,72.0
2025-12-22 12:10:00+08:00,0.0,10.9,2.1,405.0,21.0,30.9,72.0
2025-12-22 12:20:00+08:00,0.1,11.0,2.3,419.0,22.0,31.1,72.0
2025-12-22 12:30:00+08:00,0.0,9.2,1.1,417.0,22.0,31.1,71.0
2025-12-22 14:20:00+08:00,0.0,7.3,0.3,398.0,26.0,31.9,68.0
2025-12-22 14:30:00+08:00,0.2,7.4,0.5,396.0,25.0,31.9,68.0
2025-12-22 14:40:00+08:00,0.2,8.1,0.5,404.0,28.0,32.0,68.0
2025-12-22 16:20:00+08:00,0.2,12.2,3.0,407.0,39.0,32.4,67.0
2025-12-22 16:30:00+08:00,0.5,12.8,3.2,412.0,35.0,32.3,68.0
2025-12-22 16:40:00+08:00,0.6,10.9,2.5,426.0,38.0,32.3,67.0
2025-12-22 16:50:00+08:00,1.0,11.6,2.7,450.0,41.0,32.3,68.0
2025-12-22 17:00:00+08:00,0.9,12.0,3.2,477.0,50.0,32.4,68.0
2025-12-22 17:10:00+08:00,0.5,13.3,3.8,421.0,41.0,32.3,67.0
2025-12-22 17:20:00+08:00,0.6,12.4,3.4,450.0,44.0,32.3,68.0
2025-12-22 17:30:00+08:00,1.0,12.8,3.5,478.0,51.0,32.4,67.0
2025-12-22 17:40:00+08:00,3.0,17.5,6.4,465.0,52.0,32.5,67.0
2025-12-22 17:50:00+08:00,4.5,20.9,8.5,424.0,44.0,32.2,66.0
2025-12-22 18:00:00+08:00,5.8,24.0,12.9,417.0,43.0,31.9,67.0
2025-12-22 19:30:00+08:00,21.6,31.1,35.5,618.0,60.0,31.7,70.0
2025-12-22 19:40:00+08:00,13.9,24.0,25.4,680.0,67.0,31.9,70.0
2025-12-22 21:20:00+08:00,4.0,20.5,7.7,599.0,1334.0,32.0,69.0
2025-12-22 21:30:00+08:00,4.5,20.3,7.8,591.0,669.0,31.9,69.0
2025-12-23 03:10:00+08:00,11.0,21.5,22.1,518.0,79.0,31.6,68.0
2025-12-23 03:20:00+08:00,12.9,22.0,23.3,521.0,83.0,31.5,67.0
2025-12-23 03:30:00+08:00,12.6,22.7,24.2,545.0,81.0,31.6,67.0
2025-12-23 03:40:00+08:00,9.9,22.9,21.1,540.0,369.0,31.5,67.0
2025-12-23 09:00:00+08:00,21.4,30.4,33.8,547.0,76.0,31.6,69.0
2025-12-23 09:10:00+08:00,17.6,25.2,26.1,561.0,86.0,31.7,68.0
2025-12-23 09:20:00+08:00,14.8,23.1,23.9,555.0,85.0,31.8,68.0
2025-12-23 09:30:00+08:00,8.5,23.7,16.5,495.0,70.0,32.0,66.0
2025-12-23 09:40:00+08:00,5.8,20.6,10.7,438.0,44.0,32.1,64.0
2025-12-23 09:50:00+08:00,5.1,22.4,9.2,433.0,42.0,32.4,63.0
2025-12-23 10:00:00+08:00,3.4,18.8,7.0,404.0,31.0,32.5,62.0
2025-12-23 10:10:00+08:00,4.6,22.0,8.8,436.0,43.0,32.7,62.0
2025-12-23 10:20:00+08:00,3.5,19.1,7.2,410.0,40.0,32.8,61.0
2025-12-23 10:30:00+08:00,2.0,14.5,4.1,400.0,28.0,33.0,60.0
2025-12-23 10:40:00+08:00,1.1,13.0,3.2,398.0,26.0,33.0,59.0
2025-12-23 10:50:00+08:00,3.0,16.9,5.8,407.0,33.0,33.2,60.0
2025-12-23 11:00:00+08:00,5.3,22.0,12.1,404.0,34.0,33.5,59.0
2025-12-23 11:10:00+08:00,10.3,22.3,21.0,403.0,34.0,33.6,58.0
2025-12-23 11:20:00+08:00,6.1,24.6,12.2,399.0,31.0,33.5,57.0
2025-12-23 11:30:00+08:00,2.6,15.7,5.2,396.0,28.0,33.5,57.0
2025-12-23 11:40:00+08:00,0.3,8.8,1.2,395.0,26.0,33.6,57.0
2025-12-23 14:20:00+08:00,0.5,9.6,1.9,468.0,62.0,33.9,60.0
2025-12-23 14:30:00+08:00,0.2,9.4,1.4,413.0,45.0,33.5,61.0
2025-12-23 14:40:00+08:00,0.3,9.1,1.3,396.0,38.0,33.0,62.0
2025-12-23 14:50:00+08:00,0.5,10.8,2.3,395.0,35.0,32.7,63.0
2025-12-23 15:40:00+08:00,0.0,7.9,0.8,403.0,48.0,32.9,61.0
2025-12-23 18:00:00+08:00,0.5,10.7,2.6,555.0,221.0,33.0,63.0
2025-12-23 18:10:00+08:00,0.7,12.9,3.5,567.0,218.0,33.0,63.0
2025-12-23 19:00:00+08:00,21.5,32.1,36.2,575.0,886.0,32.7,65.0
2025-12-23 19:10:00+08:00,25.7,37.6,44.6,540.0,549.0,32.7,64.0
2025-12-23 19:20:00+08:00,21.7,31.4,35.4,527.0,704.0,32.6,64.0
2025-12-23 19:30:00+08:00,20.0,28.5,31.0,550.0,635.0,32.6,65.0
2025-12-23 19:40:00+08:00,35.8,55.9,67.3,565.0,403.0,32.8,65.0
2025-12-23 19:50:00+08:00,30.6,47.2,58.7,565.0,315.0,32.8,64.0
2025-12-23 20:00:00+08:00,25.4,38.3,46.3,569.0,268.0,32.8,64.0
2025-12-24 02:20:00+08:00,7.1,27.4,16.1,555.0,98.0,31.7,67.0
2025-12-24 03:10:00+08:00,10.4,19.8,21.6,557.0,82.0,31.5,67.0
2025-12-24 05:30:00+08:00,23.8,34.8,40.9,568.0,81.0,31.2,68.0
2025-12-24 08:10:00+08:00,29.2,43.2,53.1,711.0,124.0,31.2,70.0
2025-12-24 08:20:00+08:00,30.9,46.1,57.8,725.0,120.0,31.4,70.0
2025-12-24 08:30:00+08:00,30.0,45.2,56.0,718.0,457.0,31.5,70.0
2025-12-24 08:40:00+08:00,31.6,46.6,57.3,645.0,251.0,31.6,69.0
2025-12-24 08:50:00+08:00,31.6,46.1,56.6,678.0,228.0,31.8,69.0
2025-12-24 09:00:00+08:00,27.6,40.5,48.4,560.0,104.0,31.9,67.0
2025-12-24 09:10:00+08:00,27.2,39.6,48.1,566.0,97.0,32.1,67.0
2025-12-24 09:20:00+08:00,25.6,36.8,44.5,534.0,89.0,32.3,66.0
2025-12-24 09:30:00+08:00,24.9,35.8,42.8,551.0,108.0,32.4,66.0
2025-12-24 09:40:00+08:00,24.0,34.6,40.4,590.0,128.0,32.5,66.0
2025-12-24 09:50:00+08:00,23.3,33.6,38.5,674.0,133.0,32.6,67.0
2025-12-24 10:00:00+08:00,23.1,33.0,38.1,640.0,118.0,32.6,66.0
2025-12-24 10:10:00+08:00,24.3,35.2,41.0,496.0,77.0,32.5,65.0
2025-12-24 10:20:00+08:00,23.3,33.4,38.2,473.0,63.0,32.6,65.0
2025-12-24 10:30:00+08:00,21.0,29.7,32.3,452.0,50.0,32.7,64.0
2025-12-24 10:40:00+08:00,20.4,29.7,32.4,439.0,46.0,32.9,64.0
2025-12-24 10:50:00+08:00,21.2,29.9,32.4,437.0,48.0,32.9,64.0
2025-12-24 13:40:00+08:00,25.9,38.5,46.2,425.0,49.0,33.3,64.0
2025-12-24 13:50:00+08:00,26.9,39.6,47.2,432.0,52.0,33.2,65.0
2025-12-24 14:00:00+08:00,25.7,38.7,46.4,454.0,59.0,33.0,66.0
2025-12-24 14:10:00+08:00,26.7,39.8,47.3,453.0,63.0,33.0,67.0
2025-12-24 14:20:00+08:00,27.1,39.5,47.5,453.0,66.0,32.9,68.0
2025-12-24 14:30:00+08:00,27.8,41.1,49.6,451.0,74.0,33.0,68.0
2025-12-24 14:40:00+08:00,28.5,41.9,50.3,439.0,72.0,32.9,68.0
2025-12-24 16:20:00+08:00,25.2,37.1,44.1,541.0,249.0,33.3,68.0
2025-12-24 16:30:00+08:00,25.6,37.1,43.5,516.0,194.0,33.2,68.0
2025-12-24 16:40:00+08:00,29.2,41.9,50.4,527.0,169.0,33.1,68.0
2025-12-24 17:50:00+08:00,26.7,39.8,48.1,627.0,115.0,32.6,70.0
2025-12-24 18:00:00+08:00,26.4,39.8,47.6,734.0,121.0,32.5,70.0
2025-12-24 18:10:00+08:00,27.2,40.4,49.0,728.0,131.0,32.4,71.0
2025-12-24 19:00:00+08:00,34.9,54.0,67.0,568.0,169.0,32.2,69.0
2025-12-24 19:10:00+08:00,38.0,58.2,69.8,560.0,175.0,32.2,69.0
2025-12-24 19:20:00+08:00,43.3,66.0,74.3,593.0,193.0,32.3,70.0
2025-12-24 19:30:00+08:00,46.9,71.2,77.2,642.0,219.0,32.3,70.0
2025-12-24 20:20:00+08:00,37.3,55.5,68.3,641.0,163.0,32.1,70.0
2025-12-24 20:30:00+08:00,34.1,51.8,64.1,636.0,145.0,32.2,70.0
2025-12-24 20:40:00+08:00,30.6,46.4,57.6,644.0,127.0,32.2,70.0
2025-12-25 00:10:00+08:00,23.0,35.4,43.7,744.0,207.0,31.9,71.0
2025-12-25 00:20:00+08:00,24.0,37.2,45.6,741.0,204.0,31.8,71.0
2025-12-25 01:50:00+08:00,43.4,67.1,75.3,798.0,2119.0,31.8,72.0
2025-12-25 02:00:00+08:00,45.1,69.0,76.2,829.0,2119.0,31.7,72.0
