timestamp,PM1 (��g/,PM2.5 (��g/m��) c,PM10 (��g/,CO2 (ppm) corrected,TVOC (ppb),Temperature (��C) corre,Humidity (%) corrected
2025-10-03 06:00:00+08:00,18.1,30.0,33.0,410.0,94.0,28.3,65.0
2025-10-03 06:30:00+08:00,27.6,42.0,50.3,422.0,78.0,27.9,67.0
2025-10-03 06:40:00+08:00,20.4,30.5,32.7,412.0,98.0,28.4,65.0
2025-10-03 06:50:00+08:00,13.1,24.8,25.7,405.0,99.0,28.4,64.0
2025-10-03 07:00:00+08:00,5.5,14.1,15.2,390.0,91.0,28.2,64.0
2025-10-03 07:10:00+08:00,3.1,8.1,8.6,387.0,83.0,27.9,64.0
2025-10-03 08:00:00+08:00,47.5,65.8,71.1,495.0,139.0,29.2,61.0
2025-10-03 08:10:00+08:00,22.1,33.5,36.9,560.0,301.0,28.9,61.0
2025-10-03 08:30:00+08:00,63.9,89.7,94.0,533.0,89.0,29.9,59.0
2025-10-03 08:40:00+08:00,29.1,39.4,43.7,439.0,109.0,28.9,59.0
2025-10-03 08:50:00+08:00,25.2,40.8,49.2,473.0,142.0,28.7,62.0
2025-10-03 09:00:00+08:00,17.0,26.3,29.3,419.0,200.0,28.1,64.0
2025-10-03 09:10:00+08:00,18.1,28.7,33.2,417.0,106.0,27.8,65.0
2025-10-03 09:20:00+08:00,6.5,13.0,14.2,400.0,96.0,27.3,66.0
2025-10-03 09:30:00+08:00,14.1,23.9,27.8,406.0,222.0,27.3,66.0
2025-10-03 09:40:00+08:00,58.8,82.3,86.0,479.0,216.0,27.3,67.0
2025-10-03 09:50:00+08:00,67.6,88.9,93.0,557.0,333.0,27.7,67.0
2025-10-03 10:00:00+08:00,20.9,30.6,36.5,450.0,87.0,27.9,66.0
2025-10-03 11:00:00+08:00,37.7,51.7,63.7,611.0,651.0,28.8,61.0
2025-10-03 11:50:00+08:00,37.7,51.7,63.7,611.0,651.0,28.8,61.0
2025-10-03 12:00:00+08:00,51.6,69.0,75.5,570.0,408.0,28.4,63.0
2025-10-03 12:10:00+08:00,26.5,37.5,41.4,423.0,109.0,28.1,63.0
2025-10-03 12:20:00+08:00,19.7,29.0,32.4,406.0,34.0,27.0,66.0
2025-10-03 12:30:00+08:00,19.7,29.5,31.8,429.0,53.0,27.1,67.0
2025-10-03 12:40:00+08:00,19.1,28.5,30.4,446.0,130.0,27.3,66.0
2025-10-03 12:50:00+08:00,16.7,24.5,25.9,472.0,159.0,27.2,66.0
2025-10-03 13:00:00+08:00,37.4,54.5,58.6,506.0,133.0,27.1,67.0
2025-10-03 13:10:00+08:00,30.9,45.4,52.8,587.0,135.0,27.1,68.0
2025-10-03 13:20:00+08:00,38.7,56.4,63.2,689.0,79.0,28.3,66.0
2025-10-03 13:30:00+08:00,20.6,33.2,38.4,423.0,14.0,28.6,62.0
2025-10-03 16:00:00+08:00,27.4,42.4,50.5,849.0,166.0,29.6,59.0
2025-10-03 16:50:00+08:00,27.4,42.4,50.5,849.0,166.0,29.6,59.0
2025-10-03 17:00:00+08:00,82.2,114.5,119.2,548.0,399.0,28.5,63.0
2025-10-03 17:10:00+08:00,48.5,71.2,78.2,643.0,306.0,28.0,65.0
2025-10-03 17:20:00+08:00,48.7,70.9,78.0,511.0,122.0,27.4,66.0
2025-10-03 17:30:00+08:00,68.3,105.2,109.5,572.0,282.0,27.2,68.0
2025-10-03 17:40:00+08:00,59.1,90.6,96.2,623.0,292.0,27.3,68.0
