timestamp,PM1 (��g/,PM2.5 (��g/m��) c,PM10 (��g/,CO2 (ppm) corrected,TVOC (ppb),Temperature (��C) corre,Humidity (%) corrected
2025-12-21 23:00:00+08:00,6.9,27.1,15.9,,,31.6,76.0
2025-12-22 00:00:00+08:00,13.3,26.0,23.5,,,31.7,74.0
2025-12-22 01:00:00+08:00,23.1,32.7,36.9,,,31.5,73.0
2025-12-22 02:00:00+08:00,14.8,26.1,23.6,,,31.4,73.0
2025-12-22 03:00:00+08:00,0.9,11.7,2.6,,,31.2,72.0
2025-12-22 04:00:00+08:00,2.7,17.1,5.0,,,31.1,72.0
2025-12-22 05:00:00+08:00,2.4,17.0,5.2,,,31.1,71.0
2025-12-22 06:00:00+08:00,14.0,25.7,23.8,,,31.0,72.0
2025-12-22 07:00:00+08:00,22.2,31.4,34.8,,,31.0,73.0
2025-12-22 08:00:00+08:00,13.8,24.2,23.3,,,31.2,72.0
2025-12-22 09:00:00+08:00,20.6,31.1,34.1,,,31.6,69.0
2025-12-22 10:00:00+08:00,12.5,26.3,24.2,,,31.6,72.0
2025-12-22 11:00:00+08:00,1.9,15.1,4.6,,,31.1,73.0
2025-12-22 12:00:00+08:00,0.0,10.5,1.8,,,31.1,71.0
2025-12-22 13:00:00+08:00,1.1,13.6,3.6,,,31.7,69.0
2025-12-22 14:00:00+08:00,0.2,8.8,0.9,,,32.0,69.0
2025-12-22 15:00:00+08:00,0.0,8.5,0.8,,,32.5,68.0
2025-12-22 16:00:00+08:00,0.4,11.0,2.3,,,32.4,68.0
2025-12-22 17:00:00+08:00,1.75,14.816666666666668,4.8,452.5,47.0,32.35,67.16666666666667
2025-12-22 18:00:00+08:00,5.3,22.7,10.7,,,31.7,68.0
2025-12-22 19:00:00+08:00,13.0,26.0,23.9,,,31.7,69.0
2025-12-23 00:00:00+08:00,0.7,13.4,3.4,,,31.9,67.0
2025-12-23 01:00:00+08:00,4.8,21.3,8.9,,,31.6,67.0
2025-12-23 02:00:00+08:00,6.4,25.9,13.6,,,31.5,68.0
2025-12-23 03:00:00+08:00,10.5,23.2,21.4,,,31.5,67.0
2025-12-23 07:00:00+08:00,22.1,30.9,33.9,,,31.4,69.0
2025-12-23 08:00:00+08:00,21.7,30.3,33.3,,,31.5,68.0
2025-12-23 09:00:00+08:00,12.2,24.23333333333333,20.03333333333333,504.8333333333333,67.16666666666667,31.933333333333334,66.33333333333333
2025-12-23 10:00:00+08:00,2.9333333333333336,17.383333333333333,6.016666666666667,409.1666666666667,33.5,32.86666666666667,60.66666666666666
2025-12-23 11:00:00+08:00,4.92,18.68,10.34,399.4,30.6,33.54,57.6
2025-12-23 12:00:00+08:00,0.0,6.3,0.4,,,33.8,58.0
2025-12-23 13:00:00+08:00,0.0,6.7,0.4,,,33.6,59.0
2025-12-23 14:00:00+08:00,0.3,9.3,1.5,,,33.5,61.0
2025-12-23 15:00:00+08:00,0.1,7.4,0.8,,,32.8,62.0
2025-12-23 16:00:00+08:00,0.1,10.5,2.3,,,32.9,62.0
2025-12-23 17:00:00+08:00,0.0,9.3,1.5,,,33.1,63.0
2025-12-23 18:00:00+08:00,2.8,16.5,6.7,,,32.9,64.0
2025-12-23 19:00:00+08:00,25.883333333333336,38.78333333333333,45.53333333333333,553.6666666666666,582.0,32.7,64.5
2025-12-23 20:00:00+08:00,22.7,33.5,38.5,,,32.6,65.0
2025-12-24 02:00:00+08:00,7.1,27.0,16.9,,,31.6,67.0
2025-12-24 03:00:00+08:00,13.9,23.5,24.3,,,31.5,67.0
2025-12-24 07:00:00+08:00,27.0,38.9,46.7,,,31.0,69.0
2025-12-24 08:00:00+08:00,30.1,44.4,54.5,,,31.5,69.0
2025-12-24 09:00:00+08:00,25.4,36.8,43.8,,,32.3,67.0
2025-12-24 10:00:00+08:00,22.2,31.8,35.7,,,32.7,65.0
2025-12-24 11:00:00+08:00,26.2,38.4,45.3,,,32.9,63.0
2025-12-24 12:00:00+08:00,26.2,38.5,46.1,,,32.9,64.0
2025-12-24 13:00:00+08:00,25.2,37.2,44.6,,,33.2,65.0
2025-12-24 14:00:00+08:00,27.3,40.4,48.6,,,33.0,67.0
2025-12-24 15:00:00+08:00,27.4,40.5,48.7,,,33.2,67.0
2025-12-24 16:00:00+08:00,27.0,39.2,46.9,,,33.2,68.0
2025-12-24 17:00:00+08:00,29.2,42.7,51.6,,,32.7,69.0
2025-12-24 18:00:00+08:00,29.1,44.2,54.3,,,32.4,70.0
2025-12-24 19:00:00+08:00,44.1,67.5,75.8,,,32.2,69.0
2025-12-24 20:00:00+08:00,36.0,54.8,65.2,,,32.2,70.0
2025-12-24 21:00:00+08:00,27.1,42.1,49.4,,,32.1,69.0
2025-12-24 22:00:00+08:00,167.5,305.2,326.9,,,32.1,69.0
2025-12-24 23:00:00+08:00,65.2,105.4,116.5,,,32.0,70.0
2025-12-25 00:00:00+08:00,27.3,42.1,51.9,,,31.8,71.0
2025-12-25 01:00:00+08:00,44.9,68.3,75.8,,,31.7,71.0
2025-12-25 02:00:00+08:00,39.9,60.6,71.2,,,31.6,73.0
2025-12-25 08:00:00+08:00,24.4,36.6,44.0,,,31.5,70.0
2025-12-25 09:00:00+08:00,15.05,27.33333333333333,25.85,513.6666666666666,49.16666666666666,32.13333333333333,66.66666666666667
2025-12-25 10:00:00+08:00,5.959999999999999,24.28,13.68,419.6,22.8,33.14,61.8
2025-12-25 11:00:00+08:00,9.1,25.3,17.4,,,34.3,60.0
2025-12-25 12:00:00+08:00,28.8,43.2,52.6,,,34.1,62.0
2025-12-25 13:00:00+08:00,29.183333333333334,43.76666666666667,53.35,582.6666666666666,116.5,33.666666666666664,63.333333333333336
2025-12-25 14:00:00+08:00,22.8,35.0,39.6,,,34.4,62.0
2025-12-25 15:00:00+08:00,6.2,24.6,13.5,,,33.8,65.0
2025-12-25 16:00:00+08:00,8.3,25.0,16.9,,,33.5,68.0
2025-12-25 17:00:00+08:00,15.9,24.6,25.8,,,33.4,69.0
2025-12-25 18:00:00+08:00,24.8,35.9,41.7,,,33.2,70.0
2025-12-25 19:00:00+08:00,27.8,40.6,48.3,,,32.8,71.0
2025-12-25 20:00:00+08:00,25.5,37.6,44.8,,,32.5,71.0
2025-12-26 09:00:00+08:00,15.3,28.0,26.6,,,32.0,66.0
2025-12-26 10:00:00+08:00,41.8,62.3,67.2,,,32.6,66.0
2025-12-26 11:00:00+08:00,15.8,26.8,25.2,,,33.5,62.0
