Location ID,Location Name,Location Group,Location Type,Sensor ID,Place Open,Local Date/Time,UTC Date/Time,# of aggregated records,PM2.5 (ï¿½ï¿½g/mï¿½,PM2.5 (ï¿½ï¿½g/mï¿½ï¿½) c,0.3ï¿½ï¿½m particle c,CO2 (ppm) raw,CO2 (ppm) corrected,Temperature (ï¿½ï¿½C),Temperature (ï¿½ï¿½C) corre,Heat Index (ï¿½ï,Humidity (%) raw,Humidity (%) corrected,TVOC (ppb),TVOC index,NOX index,PM1 (ï¿½ï¿½g/,PM10 (ï¿½ï¿½g/,measure0,measure1,measure2,measure3,measure4,measure5,measure6,measure7,measure8,measure9,measure10,measure11,measure12,measure13,measure14,measure15,measure16,measure17,measure18,measure19
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,TRUE,2/11/2026 16:00,2026-02-11T08:00:00.000Z,4,32.6,19,1388,421,421,27.1,26.8,29.4,58,80,124,126,2,22.3,36.2,,,,,,,,,,,,,,,,,,,,
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,TRUE,2/11/2026 15:00,2026-02-11T07:00:00.000Z,31,24.8,14.2,1018,427,427,28.2,28.2,31.8,55,76,131,131,1,15.9,27.9,,,,,,,,,,,,,,,,,,,,
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,TRUE,2/11/2026 14:00,2026-02-11T06:00:00.000Z,58,21.2,12.4,884,417,417,28.8,28.9,33,52,73,140,144,1,12.2,23.8,,,,,,,,,,,,,,,,,,,,
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,TRUE,2/11/2026 13:00,2026-02-11T05:00:00.000Z,58,34.3,21.3,1471,439,439,28.9,29,33.3,52,73,190,169,1,23.6,41.2,,,,,,,,,,,,,,,,,,,,
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,TRUE,2/11/2026 12:00,2026-02-11T04:00:00.000Z,55,33.3,20.2,1424,429,429,28.7,28.8,32.9,52,73,80,84,1,23,39.2,,,,,,,,,,,,,,,,,,,,
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,TRUE,2/11/2026 11:00,2026-02-11T03:00:00.000Z,60,42.3,30.5,2044,427,427,29,29.1,33.2,50,71,40,39,1,29,52,,,,,,,,,,,,,,,,,,,,
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,TRUE,2/11/2026 10:00,2026-02-11T02:00:00.000Z,60,45,34.1,2244,450,450,29.9,30.2,35,48,68,92,98,1,30.8,56.1,,,,,,,,,,,,,,,,,,,,
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,TRUE,2/11/2026 9:00,2026-02-11T01:00:00.000Z,5,44.9,34.1,2209,436,436,30.8,31.2,36.9,46,65,78,83,1,30.7,56.2,,,,,,,,,,,,,,,,,,,,
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,FALSE,2/11/2026 5:00,2026-02-10T21:00:00.000Z,51,41.1,27.9,2053,440,440,26,25.6,26.3,58,80,139,117,1,29.1,49.8,,,,,,,,,,,,,,,,,,,,
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,FALSE,2/11/2026 4:00,2026-02-10T20:00:00.000Z,60,27.6,15.2,1128,436,436,25.9,25.5,26.2,59,81,81,84,1,19.2,31.8,,,,,,,,,,,,,,,,,,,,
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,FALSE,2/11/2026 3:00,2026-02-10T19:00:00.000Z,17,30.4,16.5,1281,446,446,24.2,23.5,23.7,65,89,124,128,1,21.8,35.9,,,,,,,,,,,,,,,,,,,,
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,FALSE,2/11/2026 0:00,2026-02-10T16:00:00.000Z,34,20.6,11.7,828,436,436,26.7,26.4,27.8,55,77,2383,500,1,10.5,23.6,,,,,,,,,,,,,,,,,,,,
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,FALSE,2/10/2026 23:00,2026-02-10T15:00:00.000Z,60,16.9,9.9,727,427,427,26.8,26.6,28.6,55,76,1588,444,1,7.9,20.3,,,,,,,,,,,,,,,,,,,,
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,FALSE,2/10/2026 22:00,2026-02-10T14:00:00.000Z,60,18.4,10.7,765,424,424,26.8,26.6,28.5,54,75,1274,427,1,8.8,21.8,,,,,,,,,,,,,,,,,,,,
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,FALSE,2/10/2026 21:00,2026-02-10T13:00:00.000Z,60,18.9,11,758,421,421,26.9,26.7,28.7,54,75,1362,435,1,8.5,22,,,,,,,,,,,,,,,,,,,,
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,FALSE,2/10/2026 20:00,2026-02-10T12:00:00.000Z,60,20.3,11.7,795,418,418,26.9,26.6,28.6,54,75,81,82,1,9.7,22.6,,,,,,,,,,,,,,,,,,,,
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,TRUE,2/10/2026 19:00,2026-02-10T11:00:00.000Z,60,22.1,12.8,881,414,414,27.3,27.2,29.5,53,74,95,94,1,13,24.7,,,,,,,,,,,,,,,,,,,,
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,TRUE,2/10/2026 18:00,2026-02-10T10:00:00.000Z,60,14.3,8.9,635,413,413,27.8,27.7,30,50,70,124,121,1,6.7,16.6,,,,,,,,,,,,,,,,,,,,
