Location ID,Location Name,Location Group,Location Type,Sensor ID,Place Open,Local Date/Time,UTC Date/Time,# of aggregated records,PM2.5 (ï¿½ï¿½g/mï¿½,PM2.5 (ï¿½ï¿½g/mï¿½ï¿½) c,0.3ï¿½ï¿½m particle c,CO2 (ppm) raw,CO2 (ppm) corrected,Temperature (ï¿½ï¿½C),Temperature (ï¿½ï¿½C) corre,Heat Index (ï¿½ï,Humidity (%) raw,Humidity (%) corrected,TVOC (ppb),TVOC index,NOX index,PM1 (ï¿½ï¿½g/,PM10 (ï¿½ï¿½g/,measure0,measure1,measure2,measure3,measure4,measure5,measure6,measure7,measure8,measure9,measure10,measure11,measure12,measure13,measure14,measure15,measure16,measure17,measure18,measure19
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,TRUE,5/2/2026 19:00,2026-05-02T11:00:00.000Z,60,4.7,4.7,392,400,400,32.3,33.1,39.6,42,60,49,49,1,2.5,5,,,,,,,,,,,,,,,,,,,,
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,TRUE,5/2/2026 18:00,2026-05-02T10:00:00.000Z,60,7.9,7.9,464,399,399,33.2,34.1,41.3,39,57,51,52,1,4.4,8.2,,,,,,,,,,,,,,,,,,,,
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,TRUE,5/2/2026 17:00,2026-05-02T09:00:00.000Z,60,5.5,5.5,400,400,400,34.9,36.1,44.7,36,53,51,52,1,2.9,5.7,,,,,,,,,,,,,,,,,,,,
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,TRUE,5/2/2026 16:00,2026-05-02T08:00:00.000Z,60,20.3,20.3,814,403,403,37.1,38.7,53.2,37,54,85,89,1,11.9,21.8,,,,,,,,,,,,,,,,,,,,
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,TRUE,5/2/2026 15:00,2026-05-02T07:00:00.000Z,60,6.6,6.6,480,404,404,37.4,39,53.9,37,53,54,55,1,4,7,,,,,,,,,,,,,,,,,,,,
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,TRUE,5/2/2026 14:00,2026-05-02T06:00:00.000Z,60,6.1,6.1,463,404,404,37.7,39.4,55.5,37,54,54,55,1,3.6,6.5,,,,,,,,,,,,,,,,,,,,
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,TRUE,5/2/2026 13:00,2026-05-02T05:00:00.000Z,60,10.8,10.8,621,407,407,37.4,39,54.1,37,54,43,43,1,6.7,11.5,,,,,,,,,,,,,,,,,,,,
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,TRUE,5/2/2026 12:00,2026-05-02T04:00:00.000Z,60,17,16.9,767,410,410,37.2,38.9,53.5,37,54,33,31,1,10.7,17.8,,,,,,,,,,,,,,,,,,,,
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,TRUE,5/2/2026 11:00,2026-05-02T03:00:00.000Z,60,27.1,27.1,1074,412,412,37.5,39.2,54.2,36,53,58,59,1,19.2,28.4,,,,,,,,,,,,,,,,,,,,
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,TRUE,5/2/2026 10:00,2026-05-02T02:00:00.000Z,60,27.5,27.5,1082,413,413,38.5,40.3,56.2,34,51,68,71,1,18.6,29.4,,,,,,,,,,,,,,,,,,,,
